idioma,token
en,host
en,with
en,after
en,to
en,rugby
en,test
en,world
en,system
en,the
en,australia
en,zealand
en,jersey
en,national
en,return
en,and
en,africa
en,in
en,permission
en,winner
en,of
en,in
en,year
en,to
en,south
en,after
en,match
en,of
en,test
en,a
en,president
en,tournament
en,wearing
en,presenting
en,were
en,met
en,africa
en,series
en,b
en,the
en,resumption
en,a
en,rugby
en,the
en,opening
en,match
en,
en,the
en,the
en,are
en,'the
en,thirty
en,eight
en,reference
en,a
en,elli
en,garrard's
en,in
en,to
en,fellow
en,referred
en,after
en,cup
en,a
en,the
en,rugby
en,in
en,and
en,warrant
en,head
en,'the
en,webb
en,and
en,the
en,the
en,on
en,cup'
en,trophy
en,an
en,high
en,the
en,game
en,engraved
en,crown
en,football
en,two
en,chosen
en,cast
en,silver
en,trophy
en,prize
en,the
en,a
en,face
en,restored
en,a
en,is
en,elli
en,the
en,lyte
en,presented
en,handle
en,for
en,a
en,webb
en,international
en,from
en,the
en,political
en,an
en,the
en,new
en,by
en,crown
en,and
en,great
en,had
en,in
en,who
en,rush
en,
en,maintained
en,on
en,a
en,initially
en,eastern
en,transportation
en,january
en,the
en,penal
en,about
en,named
en,grew
en,settled
en,of
en,to
en,function
en,a
en,colony
en,wale
en,the
en,self
en,governing
en,since
en,six
en,date
en,colony
en,by
en,year
en,of
en,to
en,six
en,early
en,of
en,and
en,in
en,australian
en,most
en,commonwealth
en,th
en,liberal
en,federated
en,the
en,constitutional
en,century
en,and
en,the
en,gold
en,system
en,australia's
en,s
en,it
en,established
en,an
en,of
en,january
en,the
en,for
en,
en,city
en,a
en,the
en,mechanism
en,the
en,with
en,tenth
en,highest
en,economic
en,military
en,ha
en,ha
en,co
en,operation
en,nation
en,development
en,with
en,australia
en,it
en,having
en,plus
en,right
en,the
en,globally
en,expenditure
en,quality
en,immigrant
en,world's
en,th
en,highest
en,accounting
en,of
en,population
en,
en,for
en,health
en,eighth
en,largest
en,and
en,in
en,high
en,income
en,human
en,the
en,country
en,island
en,and
en,anzus
en,economic
en,highly
en,development
en,organisation
en,the
en,and
en,asia
en,pacific
en,of
en,trade
en,for
en,nation
en,the
en,life
en,australia
en,education
en,a
en,freedom
en,member
en,world's
en,the
en,liberty
en,organization
en,oecd
en,index
en,is
en,per
en,of
en,pacific
en,the
en,power
en,economy
en,a
en,of
en,other
en,the
en,the
en,and
en,at
en,the
en,to
en,environment
en,national
en,operational
en,they
en,set
en,safety
en,defence
en,office
en,for
en,navigation
en,life
en,solas
en,support
en,responsible
en,international
en,sea
en,of
en,shipping
en,royal
en,the
en,marine
en,efficiency
en,ensure
en,help
en,of
en,hydrography
en,global
en,customer
en,supplying
en,of
en,navy
en,commercial
en,raise
en,together
en,and
en,trade
en,and
en,industry
en,
en,of
en,and
en,to
en,imposed
en,sometimes
en,of
en,society
en,of
en,party
en,a
en,discriminatory
en,public
en,language
en,the
en,were
en,pluralistic
en,first
en,these
en,colonialism
en,in
en,european
en,and
en,of
en,origin
en,more
en,white
en,south
en,developed
en,institutionalising
en,history
en,is
en,the
en,language
en,and
en,this
en,the
en,the
en,british
en,by
en,most
en,from
en,encompassing
en,in
en,in
en,dutch
en,wide
en,fourth
en,ranked
en,and
en,african
en,playing
en,african
en,black
en,vast
en,the
en,african
en,of
en,claim
en,struggle
en,never
en,and
en,is
en,regular
en,congress
en,the
en,it
en,inside
en,the
en,however
en,world
en,afrikaans
en,previous
en,been
en,black
en,anti
en,apartheid
en,it
en,van
en,formerly
en,of
en,upon
en,south
en,the
en,is
en,south
en,unification
en,of
en,country's
en,afrikaans
en,official
en,been
en,location
en,the
en,name
en,africa
en,since
en,the
en,separate
en,language
en,dutch
en,the
en,colony
en,english
en,geographic
en,origin
en,at
en,and
en,wa
en,four
en,unie
en,union
en,english
en,africa
en,republiek
en,formal
en,republic
en,tip
en,name
